id,admin_graphql_api_id,app_id,buyer_accepts_marketing,confirmation_number,confirmed,created_at,currency,current_subtotal_price,current_subtotal_price_set__shop_money__amount,current_subtotal_price_set__shop_money__currency_code,current_subtotal_price_set__presentment_money__amount,current_subtotal_price_set__presentment_money__currency_code,current_total_discounts,current_total_discounts_set__shop_money__amount,current_total_discounts_set__shop_money__currency_code,current_total_discounts_set__presentment_money__amount,current_total_discounts_set__presentment_money__currency_code,current_total_price,current_total_price_set__shop_money__amount,current_total_price_set__shop_money__currency_code,current_total_price_set__presentment_money__amount,current_total_price_set__presentment_money__currency_code,current_total_tax,current_total_tax_set__shop_money__amount,current_total_tax_set__shop_money__currency_code,current_total_tax_set__presentment_money__amount,current_total_tax_set__presentment_money__currency_code,estimated_taxes,financial_status,name,number,order_number,presentment_currency,processed_at,source_name,subtotal_price,subtotal_price_set__shop_money__amount,subtotal_price_set__shop_money__currency_code,subtotal_price_set__presentment_money__amount,subtotal_price_set__presentment_money__currency_code,tags,tax_exempt,taxes_included,test,token,total_discounts,total_discounts_set__shop_money__amount,total_discounts_set__shop_money__currency_code,total_discounts_set__presentment_money__amount,total_discounts_set__presentment_money__currency_code,total_line_items_price,total_line_items_price_set__shop_money__amount,total_line_items_price_set__shop_money__currency_code,total_line_items_price_set__presentment_money__amount,total_line_items_price_set__presentment_money__currency_code,total_outstanding,total_price,total_price_set__shop_money__amount,total_price_set__shop_money__currency_code,total_price_set__presentment_money__amount,total_price_set__presentment_money__currency_code,total_shipping_price_set__shop_money__amount,total_shipping_price_set__shop_money__currency_code,total_shipping_price_set__presentment_money__amount,total_shipping_price_set__presentment_money__currency_code,total_tax,total_tax_set__shop_money__amount,total_tax_set__shop_money__currency_code,total_tax_set__presentment_money__amount,total_tax_set__presentment_money__currency_code,total_tip_received,total_weight,updated_at,billing_address__country,billing_address__country_code,customer__id,customer__created_at,customer__updated_at,customer__state,customer__verified_email,customer__tax_exempt,customer__email_marketing_consent__state,customer__email_marketing_consent__opt_in_level,customer__sms_marketing_consent__state,customer__sms_marketing_consent__opt_in_level,customer__sms_marketing_consent__consent_collected_from,customer__tags,customer__currency,customer__accepts_marketing,customer__marketing_opt_in_level,customer__admin_graphql_api_id,customer__default_address__id,customer__default_address__customer_id,customer__default_address__country,customer__default_address__country_code,customer__default_address__country_name,customer__default_address__default,shipping_address__country,shipping_address__country_code,_dlt_load_id,_dlt_id,billing_address__province,billing_address__province_code,customer__default_address__province,customer__default_address__province_code,shipping_address__province,shipping_address__province_code
6134119825728,gid://shopify/Order/6134119825728,1608003,false,E8J8UR7RF,true,2024-09-23 12:20:13-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,pending,#1001,1,1001,USD,2024-09-23 12:20:13-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,4f90840dafede6e9b347fa5e8ffe8f99,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:21:14-04,Australia,AU,8651819516224,2024-09-23 12:19:59-04,2024-09-23 12:24:36-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819516224,10664388002112,8651819516224,Australia,AU,Australia,true,Australia,AU,1727109934.638963,PNSV5QsV+mefog,,,,,,
6134120087872,gid://shopify/Order/6134120087872,1608003,false,HEIE156GK,true,2024-09-23 12:20:19-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,paid,#1002,2,1002,USD,2024-09-23 12:20:19-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,167c65408f1c888044dcfffea3f14be6,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:21:20-04,Australia,AU,8651819581760,2024-09-23 12:19:59-04,2024-09-23 12:24:47-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819581760,10664388067648,8651819581760,Australia,AU,Australia,true,Australia,AU,1727109934.638963,D9ysGDFzAt9+AA,,,,,,
6134120218944,gid://shopify/Order/6134120218944,1608003,false,X8W5Z6PLQ,true,2024-09-23 12:20:25-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,pending,#1003,3,1003,USD,2024-09-23 12:20:25-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,5c8d134787aed07f3ee89d23b4267f6a,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:21:26-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,xmZ4TxwBCjjppg,,,,,,
6134120317248,gid://shopify/Order/6134120317248,1608003,false,Y8IGRVCAN,true,2024-09-23 12:20:31-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,paid,#1004,4,1004,USD,2024-09-23 12:20:31-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,ddc582597e21d7e82b88623fd82a861e,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:21:31-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,JkOVZeiAHqi3Rw,,,,,,
6134121103680,gid://shopify/Order/6134121103680,1608003,false,18T9CN0HL,true,2024-09-23 12:21:17-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1005,5,1005,USD,2024-09-23 12:21:17-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,c017407fda874aa0c61cca7d06da2860,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:22:18-04,United Kingdom,GB,8651819680064,2024-09-23 12:20:00-04,2024-09-23 12:24:30-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, referral",USD,false,single_opt_in,gid://shopify/Customer/8651819680064,10664388165952,8651819680064,United Kingdom,GB,United Kingdom,true,United Kingdom,GB,1727109934.638963,YsYW2Nbqlb/uzw,England,ENG,England,ENG,England,ENG
6134121300288,gid://shopify/Order/6134121300288,1608003,false,K0EYYDAIH,true,2024-09-23 12:21:23-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,paid,#1006,6,1006,USD,2024-09-23 12:21:23-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,fb193ce3bf5654008dd8b86e367edf88,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:22:24-04,Australia,AU,8651819516224,2024-09-23 12:19:59-04,2024-09-23 12:24:36-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819516224,10664388002112,8651819516224,Australia,AU,Australia,true,Australia,AU,1727109934.638963,sgVSLooGhtn1Gw,,,,,,
6134121398592,gid://shopify/Order/6134121398592,1608003,false,UL8HYNMNV,true,2024-09-23 12:21:29-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,pending,#1007,7,1007,USD,2024-09-23 12:21:29-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,60977b252c040b0d1bf0e89f56074e3a,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:22:30-04,United Kingdom,GB,8651819680064,2024-09-23 12:20:00-04,2024-09-23 12:24:30-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, referral",USD,false,single_opt_in,gid://shopify/Customer/8651819680064,10664388165952,8651819680064,United Kingdom,GB,United Kingdom,true,United Kingdom,GB,1727109934.638963,Sbdpp89KCNH2ug,England,ENG,England,ENG,England,ENG
6134121529664,gid://shopify/Order/6134121529664,1608003,false,EF9EQJKYY,true,2024-09-23 12:21:35-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1008,8,1008,USD,2024-09-23 12:21:35-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,9984e94919bd7a3f72e5234a36276cd6,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:22:35-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,Mz+FpciM8Yw7lg,,,,,,
6134122447168,gid://shopify/Order/6134122447168,1608003,false,PZTX5DHVW,true,2024-09-23 12:22:21-04,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,false,pending,#1009,9,1009,USD,2024-09-23 12:22:21-04,1608003,0.20,0.20,USD,0.20,USD,egnition-sample-data,false,false,false,2ebc6108ad442f01cf5e48b48c6f5a84,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.20,0.20,0.20,USD,0.20,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:23:22-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,/DjU9Jgh8dPoUg,,,,,,
6134122611008,gid://shopify/Order/6134122611008,1608003,false,K88TI4ZL0,true,2024-09-23 12:22:27-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,pending,#1010,10,1010,USD,2024-09-23 12:22:27-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,f613a9a0d0ed75fe0fc562c7410d8b72,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:23:27-04,Australia,AU,8651819581760,2024-09-23 12:19:59-04,2024-09-23 12:24:47-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819581760,10664388067648,8651819581760,Australia,AU,Australia,true,Australia,AU,1727109934.638963,KH5tYdJt9X64WQ,,,,,,
6134122807616,gid://shopify/Order/6134122807616,1608003,false,D64GJM68K,true,2024-09-23 12:22:33-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,pending,#1011,11,1011,USD,2024-09-23 12:22:33-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,fb7fb7e49b901244a4d0ae2b555d8326,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:23:34-04,"Congo, The Democratic Republic Of The",CD,8651819548992,2024-09-23 12:19:59-04,2024-09-23 12:23:37-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, referral",USD,false,single_opt_in,gid://shopify/Customer/8651819548992,10664388034880,8651819548992,"Congo, The Democratic Republic Of The",CD,"Congo, The Democratic Republic Of The",true,"Congo, The Democratic Republic Of The",CD,1727109934.638963,4cn6MUqqA4N3Fw,,,,,,
6134123102528,gid://shopify/Order/6134123102528,1608003,false,0WKAEZ8CI,true,2024-09-23 12:22:38-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,pending,#1012,12,1012,USD,2024-09-23 12:22:38-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,b1c21857467a7ecccfa5d42ae121fae0,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:23:39-04,Botswana,BW,8651819614528,2024-09-23 12:20:00-04,2024-09-23 12:22:39-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819614528,10664388100416,8651819614528,Botswana,BW,Botswana,true,Botswana,BW,1727109934.638963,NXgqG96j0eRpZg,,,,,,
6134124544320,gid://shopify/Order/6134124544320,1608003,false,4C6VTYG0L,true,2024-09-23 12:23:25-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1013,13,1013,USD,2024-09-23 12:23:25-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,209f8a2b4bd12ba383a1e4d6449f3c7b,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:24:26-04,Zimbabwe,ZW,8651819712832,2024-09-23 12:20:01-04,2024-09-23 12:24:42-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819712832,10664388198720,8651819712832,Zimbabwe,ZW,Zimbabwe,true,Zimbabwe,ZW,1727109934.638963,ct+UtrFne7f0jg,,,,,,
6134124708160,gid://shopify/Order/6134124708160,1608003,false,EXZ76KQIX,true,2024-09-23 12:23:31-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,paid,#1014,14,1014,USD,2024-09-23 12:23:31-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,98fcad236a0e64ce7af93ac3731fe393,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:24:32-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,NxZ37h25WeGoCw,,,,,,
6134124872000,gid://shopify/Order/6134124872000,1608003,false,RF84PPRHG,true,2024-09-23 12:23:37-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1015,15,1015,USD,2024-09-23 12:23:37-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,acc79d3151e413a2043fc700e84cd40b,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:24:38-04,"Congo, The Democratic Republic Of The",CD,8651819548992,2024-09-23 12:19:59-04,2024-09-23 12:23:37-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, referral",USD,false,single_opt_in,gid://shopify/Customer/8651819548992,10664388034880,8651819548992,"Congo, The Democratic Republic Of The",CD,"Congo, The Democratic Republic Of The",true,"Congo, The Democratic Republic Of The",CD,1727109934.638963,O7EqE97t7OfxMQ,,,,,,
6134125068608,gid://shopify/Order/6134125068608,1608003,false,CG3RERZM8,true,2024-09-23 12:23:43-04,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.00,0.00,USD,0.00,USD,false,pending,#1016,16,1016,USD,2024-09-23 12:23:43-04,1608003,0.10,0.10,USD,0.10,USD,egnition-sample-data,false,false,false,dde0243a64db0d2f04aaa22ca8b41da4,0.00,0.00,USD,0.00,USD,0.10,0.10,USD,0.10,USD,0.10,0.10,0.10,USD,0.10,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:24:43-04,Dominican Republic,DO,8651819450688,2024-09-23 12:19:58-04,2024-09-23 12:23:43-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,egnition-sample-data,USD,false,single_opt_in,gid://shopify/Customer/8651819450688,10664387936576,8651819450688,Dominican Republic,DO,Dominican Republic,true,Dominican Republic,DO,1727109934.638963,OTyEbf4p1GeFMA,,,,,,
6134126117184,gid://shopify/Order/6134126117184,1608003,false,JJKXDA04V,true,2024-09-23 12:24:29-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,paid,#1017,17,1017,USD,2024-09-23 12:24:29-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,b10686a20a7897e18066009a164f6476,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:25:30-04,United Kingdom,GB,8651819680064,2024-09-23 12:20:00-04,2024-09-23 12:24:30-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, referral",USD,false,single_opt_in,gid://shopify/Customer/8651819680064,10664388165952,8651819680064,United Kingdom,GB,United Kingdom,true,United Kingdom,GB,1727109934.638963,dkiC07ZFSXqwVw,England,ENG,England,ENG,England,ENG
6134126281024,gid://shopify/Order/6134126281024,1608003,false,RXLRCCDEN,true,2024-09-23 12:24:35-04,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1018,18,1018,USD,2024-09-23 12:24:35-04,1608003,0.20,0.20,USD,0.20,USD,egnition-sample-data,false,false,false,6327caa6240fdd85cfde644da712c76d,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.20,0.20,0.20,USD,0.20,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:25:36-04,Australia,AU,8651819516224,2024-09-23 12:19:59-04,2024-09-23 12:24:36-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819516224,10664388002112,8651819516224,Australia,AU,Australia,true,Australia,AU,1727109934.638963,2kOxnIXnF8N8Fg,,,,,,
6134126379328,gid://shopify/Order/6134126379328,1608003,false,K558N0NVE,true,2024-09-23 12:24:41-04,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.00,0.00,USD,0.00,USD,false,paid,#1019,19,1019,USD,2024-09-23 12:24:41-04,1608003,0.30,0.30,USD,0.30,USD,egnition-sample-data,false,false,false,1f6224a39a5c7dda46112ffbf75b74d8,0.00,0.00,USD,0.00,USD,0.30,0.30,USD,0.30,USD,0.30,0.30,0.30,USD,0.30,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:25:42-04,Zimbabwe,ZW,8651819712832,2024-09-23 12:20:01-04,2024-09-23 12:24:42-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819712832,10664388198720,8651819712832,Zimbabwe,ZW,Zimbabwe,true,Zimbabwe,ZW,1727109934.638963,dmOlEG8ZlpKXzg,,,,,,
6134126510400,gid://shopify/Order/6134126510400,1608003,false,5UETGG8II,true,2024-09-23 12:24:47-04,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.00,0.00,USD,0.00,USD,false,refunded,#1020,20,1020,USD,2024-09-23 12:24:47-04,1608003,0.20,0.20,USD,0.20,USD,egnition-sample-data,false,false,false,9c6184edc9deb9556786a6fb6ada112a,0.00,0.00,USD,0.00,USD,0.20,0.20,USD,0.20,USD,0.20,0.20,0.20,USD,0.20,USD,0.00,USD,0.00,USD,0.00,0.00,USD,0.00,USD,0.00,0,2024-09-23 12:25:48-04,Australia,AU,8651819581760,2024-09-23 12:19:59-04,2024-09-23 12:24:47-04,disabled,true,false,not_subscribed,single_opt_in,not_subscribed,single_opt_in,OTHER,"egnition-sample-data, VIP",USD,false,single_opt_in,gid://shopify/Customer/8651819581760,10664388067648,8651819581760,Australia,AU,Australia,true,Australia,AU,1727109934.638963,Lvg1AmSnKYj88Q,,,,,,
